	Unnamed: 0	id	name	light	number	address	activate	no_available	total_bases	dock_bikes	free_bases	reservations_count	geometry.type	geometry.coordinates	Longitud	Latitud
123	123	129	121 - Santa María de la Cabeza	0	121	Paseo de Santa María de la Cabeza nº 58	1	0	24	5	18	0	Point	[-3.6987665, 40.4017926]	-3.72937	40.45109
124	124	130	122 - Santa Engracia 14	2	122	Calle Santa Engracia nº 14	1	0	24	15	8	0	Point	[-3.6967169, 40.4291992]	-3.72937	40.45109
125	125	131	123 - Guzmán el Bueno	2	123	Calle Guzmán el Bueno nº 1	1	0	24	7	14	0	Point	[-3.7133412, 40.4306458]	-3.72937	40.45109
126	126	169	124 - Manuel Silvela	1	124	Calle Manuel Silvela nº 20	1	0	24	18	5	0	Point	[-3.6993465, 40.4309524]	-3.72937	40.45109
127	127	164	125 - General Martínez Campos 	2	125	Calle Fernández de la Hoz nº 29	1	0	24	8	15	0	Point	[-3.6948626, 40.435285]	-3.72937	40.45109
128	128	163	126 - General Álvarez de Castro	1	126	Calle del General Álvarez de Castro nº 1	1	0	24	20	4	0	Point	[-3.7015686, 40.4344731]	-3.72937	40.45109
129	129	168	127 - Fernando el Católico	2	127	Calle Fernando el Católico nº 19	1	0	24	10	12	0	Point	[-3.708439, 40.4338516]	-3.72937	40.45109
130	130	160	128 - Cea Bermúdez	0	128	Calle Cea Bermúdez nº 59	1	0	27	4	22	0	Point	[-3.7154329, 40.438994]	-3.72937	40.45109
131	131	161	129 - José Abascal	2	129	Calle José Abascal nº 33	1	0	24	8	15	0	Point	[-3.6982353, 40.4383865]	-3.72937	40.45109
132	132	157	130 - Santa Engracia 127	2	130	Calle Santa Engracia nº 127	1	0	20	10	7	0	Point	[-3.70164, 40.44156]	-3.72937	40.45109
133	133	156	131 - Bravo Murillo 44	0	131	Calle Bravo Murillo nº 44	1	0	24	4	20	0	Point	[-3.7040344, 40.4418402]	-3.72937	40.45109
134	134	149	132 - Glorieta de los Cuatro Caminos	0	132	Calle Santa Engracia nº 168	1	0	24	3	18	0	Point	[-3.7036675, 40.4463667]	-3.72937	40.45109
135	135	150	133 - Raimundo Fernández	0	133	Calle Raimundo Fernández Villaverde nº 33	1	0	24	1	22	0	Point	[-3.7001669, 40.447125]	-3.72937	40.45109
136	136	153	134 - Agustín de Betancourt	0	134	Calle María de Guzmán nº 58	1	0	24	1	21	0	Point	[-3.6956047, 40.4440297]	-3.72937	40.45109
137	137	158	135 - Plaza de San Juan de la Cruz	0	135	Plaza de San Juan de la Cruz nº 11	1	0	24	1	22	0	Point	[-3.6927821, 40.4415974]	-3.72937	40.45109
138	138	151	136 - Castellana 106	2	136	Paseo de la Castellana nº 106	1	0	24	13	11	0	Point	[-3.690861, 40.4453307]	-3.72937	40.45109
139	139	152	137 - Plaza de la República Argentina	0	137	Plaza de la República Argentina nº 6	1	0	24	5	19	0	Point	[-3.6853312, 40.445411]	-3.72937	40.45109
140	140	154	138 - Paseo de la Castellana con Raimundo Fernández	0	138	Paseo de la Castellana esquina calle Raimundo Fernández Villaverde	1	0	24	6	18	0	Point	[-3.6917932, 40.4457414]	-3.72937	40.45109
141	141	159	139 - José Gutiérrez Abascal 	0	139	Calle José Gutiérrez Abascal nº 2	1	0	24	6	18	0	Point	[-3.6907784, 40.4396792]	-3.72937	40.45109
142	142	162	140 - Velázquez 130	0	140	Calle Velázquez nº 130	1	0	27	4	23	0	Point	[-3.6831578, 40.4385127]	-3.72937	40.45109
143	143	165	141 - Paseo de la Castellana - Glorieta de Emilio Castelar	2	141	Paseo de la Castellana nº 43	1	0	12	5	7	0	Point	[-3.6892368, 40.4355143]	-3.72937	40.45109
144	144	167	142 - Castellana 42	0	142	Paseo de la Castellana nº 42	1	0	24	5	18	0	Point	[-3.6879154, 40.4334087]	-3.72937	40.45109
145	145	166	143 - Diego de León 52	2	143	Calle Diego de León nº 52	1	0	24	16	8	0	Point	[-3.678492, 40.4345973]	-3.72937	40.45109
146	146	170	144 - Juan Bravo 50	0	144	Calle Juan Bravo nº 50	1	0	24	6	14	0	Point	[-3.6758555, 40.4323655]	-3.72937	40.45109
147	147	171	145 - Ortega y Gasset 87	0	145	Calle Ortega y Gasset nº 87	1	0	24	1	21	0	Point	[-3.6712823, 40.429887]	-3.72937	40.45109
148	148	155	146 - María Francisca 1	0	146	Calle María Francisca nº 1	1	0	18	3	14	0	Point	[-3.6787169, 40.4442258]	-3.72937	40.45109
149	149	148	147 - Doctor Arce 45	0	147	Avenida del Doctor Arce nº 45	1	0	24	1	21	0	Point	[-3.6797296, 40.4483269]	-3.72937	40.45109
150	150	144	148 - Serrano 210	0	148	Calle Serrano nº 210	1	0	24	6	18	0	Point	[-3.6817962, 40.4510188]	-3.72937	40.45109
151	151	146	149 - Paseo de la Habana 42	0	149	Paseo de la Habana nº 42	1	0	24	5	19	0	Point	[-3.6881689, 40.4498613]	-3.72937	40.45109
152	152	147	150 - Castellana frente a Hermanos Pinzón	3	150	Paseo de la Castellana nº 122	1	1	24	0	0	0	Point	[-3.6905604, 40.4488924]	-3.72937	40.45109
153	153	145	151 - Orense 12	0	151	Calle Orense nº 12	1	0	24	1	20	0	Point	[-3.6952943, 40.4489101]	-3.72937	40.45109
154	154	142	152 - General Perón 1	3	152	Avenida del General Perón frente al nº 4	1	1	24	0	0	0	Point	[-3.6990077, 40.4527164]	-3.72937	40.45109
155	155	143	153 - General Perón con Poeta Joan Maragall	3	153	Avenida del General Perón frente al nº 36	1	1	24	0	0	0	Point	[-3.693085, 40.4522454]	-3.72937	40.45109
156	156	141	154 - Orense 36	2	154	Calle Orense nº 36	1	0	24	11	12	1	Point	[-3.6946218, 40.4548456]	-3.72937	40.45109
157	157	139	155 - San Germán 57	0	155	Calle San Germán nº 57	1	0	24	3	19	0	Point	[-3.7009675, 40.4572824]	-3.72937	40.45109
158	158	140	156 - Sor Ángela de la Cruz	0	156	Calle Sor Ángela de la Cruz nº 2	1	0	24	3	20	0	Point	[-3.691533, 40.4592351]	-3.72937	40.45109
159	159	137	157 - Castellana 164	2	157	Paseo de la Castellana nº 164	1	0	24	14	8	0	Point	[-3.6894151, 40.4591366]	-3.72937	40.45109
160	160	138	158 - Alberto Alcocer	2	158	Avenida de Alberto Alcocer nº 22	1	0	24	13	11	0	Point	[-3.684715, 40.4585318]	-3.72937	40.45109
161	161	173	159 - Paseo de la Habana 63	2	159	Paseo de la Habana nº 63	1	0	24	11	11	0	Point	[-3.6835926, 40.4543852]	-3.72937	40.45109
162	162	172	160 - Colombia	0	160	Calle Colombia nº 7	1	0	24	6	18	0	Point	[-3.6763439, 40.4572466]	-3.72937	40.45109
163	163	132	161 - Paseo de la Florida	1	161	Paseo de la Florida nº 8	1	0	27	18	5	2	Point	[-3.7224983, 40.4219665]	-3.72937	40.45109
164	164	133	162 - Metro Pirámides	2	162	Paseo de los Olmos nº 28	1	0	24	9	15	0	Point	[-3.7108108, 40.4034076]	-3.72937	40.45109
165	165	134	163 - Paseo de la Esperanza	1	163	Paseo de la Esperanza nº 2	1	0	21	0	0	0	Point	[-3.7064516, 40.4035988]	-3.72937	40.45109
166	166	136	164 - Paseo de las Delicias	0	164	Paseo de las Delicias nº 92	1	0	24	7	17	0	Point	[-3.6945025, 40.3972616]	-3.72937	40.45109
167	167	135	165 - Entrada Matadero	0	165	Paseo de la Chopera nº 14	1	0	27	1	23	1	Point	[-3.6975708, 40.3928821]	-3.72937	40.45109
168	168	174	166 - Segovia 26	2	166	Calle Segovia nº 26	1	0	24	8	15	0	Point	[-3.7135833, 40.4138333]	-3.72937	40.45109
169	169	175	167 - Segovia 45	1	167	Calle Segovia nº 45	1	0	24	18	2	1	Point	[-3.717487, 40.413736]	-3.72937	40.45109
170	170	176	168 - Batalla del Salado	2	168	Paseo Santa María de la Cabeza nº 29	1	0	24	13	8	0	Point	[-3.6959166, 40.4044722]	-3.72937	40.45109
